number,review
74,"I've never been a fan on Tex-Mex especially since I'm from the valley, Mexican food usually isn't on top of my list of food choices when I go out to eat. Vamonos definitely changed my perspective on that after I visited them. Truly impressed. <br/><br/>For starters, FREE CHIPS!<br/><br/>As soon as you sit down, you're greeted by your waiter/waitress and BOOM! Chips and salsa at your table! No long wait and you don't even have to ask.<br/><br/>The environment is nice and mellow. The lighting is a bit dim and I felt that made the environment more comfortable to be in. <br/><br/>The food was fantastic! The puffy tacos and chicken enchiladas were sooooooo delicious! <br/><br/>I could say so much more but simply put this place is a 5/5 star Tex-Mex joint. Check it out and find out for yourself!"
75,"It was my boyfriends and I first time coming here and it was WONDERFUL!!! The place is clean and restrooms are clean as well. Our servers, Peña and Arianna were attentive, friendly and professional! We were happy with our decision coming here. I recommend the Pablo's Plato and Ranchos Tacos. As for the drinks, the Pickly Pear and Paloma frozen drinks were on point. <br/><br/>Al &amp; Sue"
76,By far one of the best food choices I've made since moving to Austin 2 months ago. Ruben's customer service was top tier. He brought us a bowl of their custom Tex-Mex queso when he found it was our first time here. He brought an array of salsas that were all tasty when I asked for salsa for me taco.<br/><br/>The chips were hot and fresh when set on our table. And delicious table salsa.<br/><br/>The pastor taco I had was americanzed but v delicious! I will bring more friends back here. Prices were very fair! Even enjoyed their bill presentation! 10/10
77,Awesome brunch at Vamonos yesterday. We wanted to go somewhere with a patio but it was chilly and windy -- luckily this place has a nice wraparound enclosed patio with heaters! Chips and salsa come out first and fast. I had the elotes (legit!) And tortilla soup (thick and hearty). There's a salsa sampler and the queso is delicious. Fantastic service - we'll be back!
78,"Great patio...covered...misters...everything Austin requires.  The Watermelon-pepper Maragaritas were fantastic and the service prompt and very friendly.  The food, however, really seals the deal.  This is a hidden gem in Austin.  The carnitas tacos and folded enchiladas--wow!  Seriously, I regret finding this place so late in my trials to find great unknowns...why did I wait over a year from identifying a place to go to eating there?  Fabulous food and atmosphere to hang out at and we'll be back in numbers for sure!"
79,"I had driven past Vamonos many times but just never put it together to actually stop in! I saw an Instagram post or ad with pics and I told my husband, WE'RE GOING TONIGHT. <br/>We have been 3 times in the past month now...No matter how busy they are, we always get really wonderful and friendly service. They have plenty of seating indoor and outdoor(If you're more flexible with indoor, I'm sure that attributes to us getting a table so quickly these days). <br/>Their chips and salsa are a great start to the meal and my personal fav so far has been the puffy tacos on Taco Tuesday. I haven't been drinking but I get their refreshing agua fresca's and my husband has been enjoying their margaritas. There is a pink margarita that I am dying to try because it looks so delicious every time I see it being delivered to a table..So I am excited I will be trying that(and their other drinks) in a month when I can drink again!! :)<br/>Support this awesome local business!! I wish I had tried them out before since we've been looking for our new chill, tex-mex restaurant for a while!"
80,Super cute restaurant with awesome appetizers and drinks! Very Austin-Mex. The prickly pear and guayaba margaritas were oh so yummy. Paired nicely with the ranch chile con queso and street corn. Would definitely bring out-of-town guests here.
81,"In the sea of Tex-Mex that is Austin, TX, it can be hard to differentiate meals you have.<br/><br/>Since I'm apparently into lists right now, here are some of the things that make Vamanos stand out: <br/><br/>1. Cute interior. Really clean and trendy, feels really open, love what they've done with it. Lots of sunshine!<br/><br/>2. High quality meat<br/><br/>3. Good service <br/><br/>4. A lot of fish options, for my pescatarian bros<br/><br/>5. Lots of flavor, definitely love the poblano crema <br/><br/>6. Location - central, lots of parking! <br/><br/>Splitting the Pablos plato with a friend is perfect, reasonably priced, and leaves some money for drinks. Or, more likely in my case, additional queso."
82,"Yo this place is amazing!  1) Great staff (Reuben, Jucy &amp; Peña) that provides awesome service, which is hard to find nowadays.  2) Good food (best beef nachos in the state).  3) Nice Happy Hour specials.  4) And most importantly, Excellent TEQUILA selections!!"
83,"Salsa is truly delicious, as other reviewers mentioned. But. Can't say the same about any other food we had. Beef fajitas tacos were chewy in a bad way and just bland, even though meat had some nice smoky flavor. Chicken enchiladas were just OK, but nothing special or to come back for. <br/>Not sure why this place has such great reviews. It's just not good and not bad. It's OK."
84,"I live in the northeast, and came to TX for a conference. I wanted 2 things when I was here - good BBQ and good Mexican. I searched Mexican places online, and found this had good reviews. My hotel was about 20 min from here, and I expected it to be more downtown when I got here, but the location is probably what made it better, and less touristy. Right away I was impressed by how fresh the margarita tasted. I wanted to try a flavored one, too, but the house was just so good that I went for a 2nd. I ordered a taco and enchilada combo, and street corn. The food was nothing compared to even the best tex mex food I've had up north. I tried to describe it to coworkers the next day, and just couldn't find the words. And the best part the the friendly staff! Everyone was so attentive, and the owner was always present and helping his staff where he could. I would absolutely come back here in a heartbeat when I come back into town (it was better than the BBQ I got the next night), and I would recommend this place to anyone in the area!"
85,"I added a review of our Vamonos experience and tasty food in this video. Hope it helps, scroll to a little after 3 minute mark - <a href=""/redir?url=https%3A%2F%2Fyoutu.be%2Fd7nt43iwfUY&amp;s=17c8815d2a166100c75c52587e64d1309a9be712cb1d0db536ba9ca6f81b8194"" rel=""nofollow"" target=""_blank"">youtu.be/d7nt43iwfUY</a>"
86,"This new TexMex joint is bright and airy, with a nice patio and a short and fairly simple menu. The service was friendly and the few glitches were about what you'd expect in a brand new place. I also like the whole idea of ingredients ""locally sourced when possible."" <br/><br/>My Margarita was good, as was my pork carnitas taco lunch special, and the Queso Blanco. But the question left unresolved for my lunch companion and me is whether it was all good enough to stand out in an area as saturated in good TexMex as Austin. The $10 lunch specials seemed a bit pricey, especially when presented as tiny little entree plates, with little shared bowls of unremarkable refried beans and rice. I was annoyed that I couldn't try two kinds of tacos on my 2 Taco lunch special, although the carnitas I decided on were really good.<br/><br/>When I asked my friend for her opinion, she said what I was thinking--that there were several places nearby with very good good, more options, and a better price. She is a very light eater, but commented on the ""presentation,"" that it's disappointing to get the little plate enchilada and shared rice and beans opposed to the platter you get at other places."
87,"If we could give it 10 stars, we would! Every staff member was friendly and helpful with great recommendations. The margs were fantastic. Highly recommend the chips, salsa, guacamole, and chicken enchiladas- OH YUM!"
88,Everything tasted good. I don't know how much I'd care to come back again but I don't regret the stop to try this place.
89,Great find. Good food start to finish! Make sure to order a Margarita with Queso and Guacamole! More chips please!
90,"Excellent Tex mex. we came in on a Tuesday which happens to be puffy taco night. These are easy to eat and really tasty! My friend had a beef and shrimp fajita thing, which was great, we coupled this with some Guacamole and prickly pear margs! <br/>Good stuff"
91,"Food was great! Free chips and salsa? Sign me up! I got the enchiladas and it was delicious! The horchata here was also super tasty, one of the better ones I've had. Great service as well!"
92,First Mexican place I tried while visiting Austin.  So damn good we came back the next day for round 2.  That should say it all.
93,Amazing little hidden gem! The food is to die for #carnitas and the drinks are delicious as well. Fun music. Prompt service. Colorful!
94,"Husband and I stopped by for late lunch. Chris took great care of us.  Food was delicious.  The salsas were flavorful abc just the right amount of heat.  We had the Queso and it was creamy with poblano and just the right amount of meat. The chips were crispy and light.  Husband ordered 3 tacos.  Pork and steak and chicken. The meat was perfectly cooked, and great quality.  I had a steak taco and enchilada. Loved it! We had their rice and beans too.  I think if a restaurant has poor rice and beans the rest can't be good.  Well, the rice was delicious and fluffy. Beans were also very fresh and delicious.   My prickly pear margarita was amazing!! So glad I found Vamonos."
95,Literally stumbled upon this place last minute. I'm glad I did. The place is a gem for sure. Good and drinks are amazing. Ordered the don pedro skillet and it was more than enough. Their mixed drinks are really good and have their unique flavor. Will definitely make this a regular spot.
96,"As a former Texan now living in California, this was the exact Tex Mex I've been craving! Well done Vamonos! From the sauces to the dishes, it was great!<br/><br/>Thanks for letting me ""come home"" for a bit."
97,"Wonderful environment, great food, great service and definitely will come back !!!!!!"
98,Great service... loved the house salsa! Tortilla soup has awesome flavor and they are generous with avocado and cheese. Soup orders are cups... order two if you want a meal.
99,"Vamonos is a GEM!  You will WANT to dine here! <br/><br/>I stepped into Vamonos for the first time on a hopping Saturday night last week and I was not disappointed.  The wait staff were able to seat me and my friend in no time!  <br/><br/>After being seated it was win after win!  <br/>First up were the chips and salsa.  Delicious.  Pro-Tip: order the extra salsas.  There is this sweet yet very spicy habanero salsa that tastes like heaven.  <br/><br/>Next we ordered the queso, and it was equally delish! ProMax-Tip: put that delicious habanero salsa in it and you'll experience Dune.  The spice must flow! <br/><br/>Our tasty margaritas arrived up next and I was thrilled.  Their margaritas were great!  For those addicted to the margs like me, they're not too tart and it tasted like Vamonos didn't use a mix.  It's all natural, baby!  Bonus: you can chose the cheap or bougie tequila you want the drink made with. Aw yeah! <br/><br/>Lastly, we ordered the fajitas for two.  Y'all this meal was so large!  It was equally tasty and satisfying.  But the best thing, the steak was perfectly medium!  THEY DIDN'T SCORCH THE STEAK! I've been to a few places here in Austin and the fajita steak was burnt.  No bueno.  We had plenty of meat to make 5 tacos and then we had enough food left that we took home a large amount for next day left-overs.   <br/><br/>If you can't tell by now, don't wait, but go to Vamonos for a wonderful delicious dinner!"
100,"Great service, good food. <br/>Ariana was amazing. Something needed to be adjusted on my order and she was very helpful and prompt. <br/>Will definitely visit / order from here again!"
101,"Daaaaammnn son. We just ordered curbside from here for the first time, and let me just tell you, FIRE! Like FIRE <br/>Best Tex Mex Sunday Brunch I've had in a while. We FEASTED TODAY. The ""all day"" Chilaquiles had the most delicious tangy green salsa and the eggs were cooked perfectly. The nachos, the enchiladas, the salsas; everything was perfect and piping hot. We even ordered Togo prickly pear margaritas and modelos to get the party started back at home  ....ayyyeee we livin the good life during the quarantine. Thank you so much Vamonos staff! We will most definitely be back."
102,"I saw alot of great reviews on facebook about this place and wanted to try it. I have been eating and making mexican food  for over 18 years.  Me and my son went there. When you walk in to the left is a poster of a cat and unicorn with lasers coming  out of eyes and the caulk board has boobs on it. I was thinking that's out of place but  the food has to be good I was thinking. We look the menu (which has alot of miss spellings)<br/> the there is not a variety just chicken and beef. When we ask the cashier the difference between 2 tacos. All the lady said was 1 hard one soft. Still I was think food has to be better than service or maybe shes just having a bad day.  I spent over 20 dollars on 2 meals if the food is good then its worth it, I was wrong. I asked the lady if i  could have taco sauce. She stated it was in the box. What was in the box was  tiny cups of salsa. The beef taco had just cheese and lettuce without any flavor. I was disappointed. The burrtio i took one bite out of and stopped it also had poor quality to it it appear as if a child make it. The cheese sauce you can tell it came from a can. You tell most of is bought from a store with no effort or prep put in it. There is no auethic mexican food here in any way. They only  open packages and serve. And last thing they dont follow covid guidelines they only wear mask when taking your order. When they so to food prep area they come off. The tables were not six feet apart. I'm so disappointed in this place."
103,"The outside of the building says Free Chips and they are good.  The chips were light, but sturdy enough to hold a scoop of salsa. Now the salsa was flavorful, but didn't have any heat at all.<br/>The Nachos Ignagios were very good. The beef was excellent and the cheese was melted perfectly.  The presentation was, well, pretty. The nachos were not overloaded with ingredients like other restaurants. <br/>The sopapilla was as big as my head and that's big.  It was dusted with Mexican cinnamon and agave. <br/>I'll be back."
104,"This place used to be good. Today we were overcharged, our food was cold, cheese was hard and un melted. My date and I went to lunch, ordered the lunch specials and were charged for the dinner plates, we were also overcharged on our nachos. I'll provide pictures of the receipts, I kept the initial one &amp; the last one. This happened twice, on the third time the prices were changed to what they should be. We were given one type of watery salsa, usually they give 2 or 3 salsa's. When my date asked about the other salsa's our waitress told us she would bring them, but she never did. We ordered nachos that arrived cold, cheese unmelted. The waitress said she would be right back with plates, she never brought plates. We then ordered enchiladas from the lunch menu, as it was just after noon, yet we were charged for Dinner priced plates."
105,"I went here for lunch and I was extremely underwhelmed. I feel bad for giving this place 2 stars because the service was extremely friendly. <br/><br/>The chips and salsa was good (on the outside, it says ""free chips""... but isn't most Texmex places?) but there was only one type of salsa. <br/><br/>The food was extremely small in portions. I got the fish tacos in the lunch portion and it was $10. It was not filling, not THAT great (even Torchy's could do better..) and extremely small.<br/><br/>This place is gentrified - meaning it's beautiful but overpriced."
106,"Holy cow, this place exceeded my expectations in every way. The food was incredible. You can tell they take time to season things well. <br/><br/>The salsa is to die for and you can buy it by the pint or half pint, which we did. We got the enchiladas and the poblano sauce was amazing favorite.<br/><br/>Brandon was an excellent server. He was helpful and went above and beyond. <br/><br/>This is our new favorite Medan place...a little gem!"
107,"10/10 food <br/>10/10 vibes <br/>10/10 drinks <br/><br/>Between the amazing queso, variety of salsa, the sopaipilla (the size of my head omg) and fantastic chicken enchiladas, you can't go wrong. <br/><br/>The prickly pear margarita was also a 10/10. About to enter a food coma. You won't regret coming here."
108,"We discovered Vamonos during the pandemic and ordered takeout from them quite a bit! Their food is DELISH and travels really well, which can be hit or miss with takeout Mexican. We love the queso, quesadillas, fish tacos and poblano crema chicken enchiladas. Frozen margs to-go were/are CLUTCH."
109,"Cold food, store bought chips, understaffed, slow service. On the plus side, the prickly pear marg is good."
110,Awesome establishment. I will recommend to others and return. Presentation was great. Service was nice. Food was quality. Fast service. I'm leaving happy! And full. <br/>Salsa was good. Good lunch specials. Very clean! Don't miss out!
111,SO UNDERRATED!!! everything we had here was amazing and staff was super friendly and attentive. absolutely will be returning (soon)!!
112,"Needed to meet with some co-workers today and we decided to try out Vamonos.  We were not disappointed.  Our server was super friendly and cool and had some great recommendations for us.  I had the fish taco with the skirt steak enchilada and both were excellent.  The enchilada had a fried egg on top which is not something I have seen before, but after trying it I am definitely a fan.  Even expecting the food to be good based on the reviews, I was still surprised at how awesome everything tasted.  Overall a great experience, definitely will be back."
113,"Food &amp; drinks are amazing &amp; the owners &amp; staff could not be nicer. Best elotes, prickly pear margs, fish tacos, tinga enchiladas, amazing Happy Hour specials. Great COVID precautions. You can see from my other reviews that I am a hard ass, and this is consistently one of my absolute favorite places to spend my hard earned money."
114,We love Vamanos. Lots of parking availability. We've always had great service and great drinks/food!
115,"I've been to Vamanos a few times now and it's the perfect addition to the neighborhood! Amazing salsa, warm chips, great food, and AWESOME drinks. The frozen paloma is my favorite. For food, I recommend the migas, chicken enchiladas with poblano cream sauce, and puffy tacos!! <br/><br/>While the food and drinks are great, what really sets this place apart from the rest is the staff. The genuine joy and kindness they show each of their customers is really something. Couple that with a beautiful patio and you have my family's new favorite restaurant. <br/><br/>Welcome to the neighborhood, Vamanos!"
116,"I saw that they just opened and figured I'd stop in for lunch with my kids - the staff were so friendly and welcoming right away, and it was a really nice indoor/outdoor atmosphere.<br/><br/>We started with the free chips and salsa, which was really tasty, but had to give the Ranch Style Queso Blanco a try and it was delicious.<br/><br/>I went with the Power Bowl (Arroz, charro beans, jack &amp; Oaxaca cheese, super greens, pico de gallo, shredded carrot, radish, avocado, and shrimp) for my meal and it looked and tasted great. My kids all loved their selections, too. We'll be back."
117,"Best Mexican Martini ever!!!<br/>At least once a month, my husband and I visit Vamonos' restaurant. We love to start with ceviche and then either chicken Enchiladas or carnitas! Our favorite waitress Laura always provides the best services, but in general, Everybody is friendly."
118,"Came here for lunch and it was very tasty! Ordered drinks, queso and 4 entrées. The super greens salad was delicious - just added chicken. The carnitas were so flavorful and the service was top notch! I will definitely be back."
119,"This place is an A+<br/>The food is really great and it has a perfect balance between savory and spicy.  <br/>The place has adequate parking and they have great lunch especials.<br/>We ordered Queso Blanco (best I've ever tasted), Carnitas, Tacos and Quesadillas for the kids.<br/>Cocktails and Margaritas are amazing.<br/>The staff is very friendly and professional.<br/>They have vegan options available."
120,"FINALLY!  A comfortable, reasonably priced, non-hipster oriented restaurant in the hood!  We were greeted by the owner and his wife with genuine smiles and thankfulness to have us. Our server and the bartender were magnificent!  And the food...OMG, authentic, real, and SEASONED!  I am still pinching myself. <br/><br/>We ordered the queso blanco, beef enchiladas, and nachos with margaritas and a frozen Paloma. All were amazing!!"
121,"Wow, what a delicious dinner! We enjoyed the ceviche -  fresh, tart, and chock full of flavor. The shrimp tacos were divine, and thank you for not skimping on the shrimp as so many restaurants do! The beef fajita taco plate was also tasty. We loved the guacamole and marveled at the chips, still warm and super light. Everything was wonderful, and it was so great to break the monotony of home cooked meals with such a delightful repast. Gracias!"
122,Best Mexican food ever. Salsa has a great taste even though it's not spicy. Chicken tacos were flavorful. Another member of group had beef enchiladas and said best he's ever had. Fish tacos spicy with tons of flavor! Excellent place.
123,"The food here is good and is basically three stars -- but it earns an extra star because it's not 1) standard tex-mex food nor is it 2) fusion ""boutique Mexican"" food. The sauces and salsas are not tomato based like most places -- they actually blend up guajillo and chilaca chiles to make their salsas and sauces.  The Pablo's Platter was tasty and sufficient in quantity. I really enjoyed the chile sauce on the enchiladas -- it was savory not spicy, like it should be.  The tacos were good as well (although they used flour tortillas not corn) and the rice was nicely seasoned.  The refined beans were standard -- they could have used a bit more flavor, perhaps cooking them with bacon or chorizo grease.  The elotes (what they serve is actually esquites) are what I have come to expect in the USA -- sweet corn topped with mayo, lime, Chile and crumbled queso fresco.  In Mexico they're made with a variety of corn that is not sweet -- but it doesn't seem to exist in the USA. So that being said, their corn was seasoned well and I believe they actually use Mexican McCormick Mayonesa instead of a Hellman's. <br/><br/>The chips taste like something from a bag in the grocery store but the salsa is amazing. Roasted chiles, onion, maybe some cilantro and salt all chopped up. I couldn't detect any tomato in it and they use a dark chile like a chile pasilla I think -- tasty with a subtle bite.  I'd buy the salsa in jars if they sold it. <br/><br/>Overall some items are hit or miss, but I would go back.  After tasting their salsas I want to go back and try their Chilaquiles...I just hope they use different chips for it."
124,Austin - HEADS UP! This place is the best enchilada place in town. Better than Matt's El Rancho. Make sure you pay this place a visit. <br/><br/>Fantastic service.<br/><br/>Tasty margaritas - not too sweet or sour.<br/><br/>Enchiladas with Poblano Cream is the best! <br/><br/>Spread the word!
125,Great food and good service. Our waitress was helpful in deciding what we would like and gave good recommendations! Food was really good. The salsas were pretty hot!
126,Great food and drinks! Parking is kinda crappy but worth it! The Paloma is the best I've had!
127,Underrated jewel. Great Mexican food and amazing salsa. I love different types of salsas and vamanos has this salsa trio that is amazing and free. The redfish fajitas are my favorite and the street corn is awesome. Their drinks are super good as well but a tad expensive but where aren't drinks expensive these days. The frozen margaritas are really good and the ranch water is also really good.
128,"The elotes are the closest thing to authentic Mexican grilled corn I've found in Austin! SO GOOD! Cannot recommend that enough, especially if you're ever feeling nostalgic for grilled street corn from Mexico. Also, I thoroughly enjoyed my veggie enchiladas because the vegetables were grilled, which really makes a difference. My only reason for giving this 4 rather than 5 stars is because the veggie filling inside the enchiladas left me wishing for more flavor... maybe through a combination of seasoning, salt, and/or oil? But regardless, they were very satisfying because of the grill."
129,"Being from San Diego, we were definitely missing some good quality Mexican food.  So happy we found Vamonos! Not only was the food amazing, but the service was top notch! Highly recommend this spot!!"
130,"Great food and margaritas but what really stood out was the excellent, friendly service. Our server brought out some extra (delicious) salsas to try with our chips. You can tell everything is homemade. Great little neighborhood spot with outdoor seating - will definitely be back!"
131,"Vamonos has been good in the past, but we had a less than stellar experience this week. We placed an order for pickup and the soonest time was 1.5 hours later. Upon arrival, we were told it wasn't ready and there were other people ahead of us, and we would just need to wait for an undefined period of time. We ended up waiting another half hour at the restaurant."
132,"I'll try to be brief. I like the food; it's really good. The queso is amazing. The atmosphere is nice. For the most part, the staff is very friendly and helpful. But: One guy behind the bar, a guy with longer hair, has ""upsold"" me every time I've been in without telling me about an extra charge. The most recent time, I ordered the Pablo's Plate ($16 on the menu), and when my check came, it said Pablo's plate was $22. I asked the other bartender, who said that long-haired guy had told him it was an extra charge for the meat. My enchiladas were carnitas, and my tacos were adobo chicken--choices that were printed on the menu. I consider myself a semi-regular at Vamanos, because the food is so good. If you see the long-haired guy, beware. And watch your wallet."
133,"I don't get the naysayers. We had a pretty tasty meal here.<br/><br/>Seeing as it was my first time visiting, I got the Pablo's platter. The tacos were skirt steak and carnitas. The enchiladas were adobe chicken and beef picadillo. My faves were the carnitas taco and picadillo enchilada, but everything was well seasoned and prepared.<br/><br/>Additionally, my wife loved her fajita-style carnitas plate and commented upon how fragrant the rice was (it was studded with carrots and corn). <br/><br/>Pro tip: they apparently will bring more salsas out for your chips if you know to ask. One of the servers offered to bring out more than just the house salsa. Of these, I really liked the sweetly spicy habanero one."
134,"I love this place! Amazing margaritas, chips and salsa, and enchiladas. There are extra salsa choices if you go for dinner. The atmosphere is great and staff is very friendly. I've never had to wait for a table surprisingly. This has been my favorite Mexican food restaurant in Austin so far"
135,AMAZING! Stopped by since I'm new to the area. Loved the tinga and Strongly recommend the Paloma.
136,"ATTENTION! You need to add these three words to your vocabulary ""PUFFY TACO TUESDAY""! These guys are throwing down some puffy tacos like you wouldn't believe. These things are freaking delicious! And they only make them on Tuesdays (I know where I will be going for Happy Hour on Tuesday's from now on). As with any Mexican restaurant, their salsa will set the tone for the rest of your meal. This place did not disappoint, they have several really good salsas, including the best habanero salsa I have ever had. I tried their chicken taco and carnitas taco, both were on point! I will certainly be back for dinner soon and get the carnitas plate!"
137,"Great food, great service, top tier Margs. Everything you want out of a Tex Mex place. Remy was a fantastic host and bartender."
138,This spot is super cute and the service is good. I loved the appetizers ( elote and queso) and the salsa they give out but the enchiladas were not great. Tried the chicken enchiladas and the beef enchiladas and they weren't my favorite. The prickly pear margarita was also very good!
139,Best salsa around. Queso is cheesy amazing!!!Really impressive! Especially considering prices are so low for such quality.
140,"A hip, delicious spot in the Ridgetop area (just west of Mueller). All the food is delicious and flavorful. My go to is the Taco Salad. The environment is clean, modern, and fun. Plus the staff is incredibly nice and welcoming. Grab a bite the next time hunger strikes."
141,This is an outrage that this place has almost 5 stars. My first time coming here I got the beef fajitas and it was inedible. The meat is more like steak flavored gum. I wouldn't feed this to my dog because he would choke. 1.1 stars because the chips have a good crunch.
142,"The queso was milky and totally not what I would expect of a queso. The guacamole was slimy (might have been overmashed/overmixed?). The margaritas were too sweet, and frankly expensive for what they were. We decided to leave after the disappointing nature of the apps. <br/><br/>Giving it two stars instead of one because the folks working there were very nice and well-intentioned, but in a city with an abundance of solid Tex Mex options, they really need to do better."
143,Walking into this place all the colors are super vibrant the plants are perfectly decorated with such a cute aesthetic. <br/>Came in was greeted right away and seated rather quickly our waiter was super nice and very patient!<br/>.<br/>The margaritas were amazing ! <br/>And my friend got the house margarita she loved it . <br/>Fresh chips and salsa <br/>.<br/>The tacos were bomb dot com great Tex mex find
144,"This place is amazing! I cant imagine what it is like when eating inside but the food was great, the people were cool and the service was fast and efficient!!! I will definitely be eating here again!!!!!Chicken Enchiladas con salsa suiza pablano was amazing!! Def get extra sauce just for eating the free chips!!!!! : )"
145,Great happy hour and even better service! Best house salsa in Austin! Peña always has a smile on under his mask to greet you and management is great!
146,"I went here based on a recommendation from a local, and I was blown away. The ceviche was different but SO good. The queso was amazing as well! We had the chicken tinga puffy tacos also were amazing. The micheladas were on point! When I go back to Austin this will be my first stop."
147,"My friend and I decided to volunteer at a farm on Friday morning. After we finished we were ready for a margarita. After searching for margaritas in the area, I found Vamonos. When we first walked in the staff seemed busy, we waited at the front maybe 10 seconds before a man, who i can only imagine was either the manager or owner, approached us to seat us. <br/><br/>The staff, drinks, food, and just the experience, in general, was a great one. I would definitely recommend."
148,"I have to start by saying how sad I am to write this review!!!! We were SO excited for this place to open since we live so close and for the first 3/4 of the meal I kept saying to myself - it's their second day open well give it another chance once they've got their groove going - but honestly idk if we will. <br/><br/>So how did we get to this two star experience? Let's start from the beginning. <br/><br/>Vamonos took over the old bullflight space which was beautifulllll. They've got twinkle lights hanging and I love the paint on the walls but other than that....they took a space that was almost perfect and kind of ruined it...the blue accents are nice but the tables and chairs are really ugly. Bullflight was a big open space and they put a big yellow divider right in the center which at first I was like oh that's kind of cool - but really what it did was take a nice open space and divide it into two odd weird spaces.  <br/>The bar area is sectioned off but has dining room seating it, which we made the mistake of sitting in while at the bar (assuming it was bar area seating since it's in the sectioned off area)<br/><br/>Ok so we grab a drink at the bar, bravo to the bartender he's the only one working the bar he's beyond slammed and he's just knocking out drinks. <br/>So the drinks you ask? <br/>Meh. <br/>Margarita was too sweet and served without a line (not a huge deal he was slammed and it's the second night their open) my boyfriend didn't end up finishing it because it was overly sweet.<br/>I had the frozen prickly pear margarita which was to my surprise less sweet than he margarita on the rocks which was good. It wasn't crazy flavorful, it was a good drink, not amazing, idk if I'd pay $10 for it. I'd def pay $6. <br/>The rest of the drink menu was really underwhelming so we (shockingly) decided not to order another round. <br/><br/>Ok so dinner! <br/>We get a table and wait awhile to order, brand new restaurant growing pains totally expected. Things like someone asking if you want water and never returning, no one coming to take your order for a longgggg time. But there's chips and salsa and that. An keep you occupied for sure! (They were good but desperately needed salt which was not on the table.) <br/>So here's where we start having issues, we wait forever for a server but eventually order Boyfriend wants the tacos asks if he can do one of each, she says yes. I do school style taco salad no sour cream. Boom done! <br/>At least 20 minutes later she comes back and asks what kind of tacos he wanted, chicken? And he says one of each and she looks like blank and he's like if you can? And he's like if not then carnitas. Ok did she not put our order in within the last two boxes of chips? Whatever. She doesn't come back so we assume all is good. <br/>Awhile later my taco salad comes out, with sour cream. Womp womp. Sadly that's something hard to pick off so I mention it and they take it back. What was weird was the tacos didn't come with it? So we wait and my salad comes back out and still no tacos lol. <br/>So I'm waiting because it's rude to eat while the other person is waiting, we finally flag someone down to ask and they say they're working on them. Eventually we have tacos! Carnitas tacos. So I guess they couldn't do one of each? But our waitress just didn't bother to mention it lol. Kind of like taco roulette, you get what you get. He was happy he mentioned the carnitas because if he hasn't who knows what he would have got. <br/><br/>Up to this point we're still like, growing pains we will be back. <br/><br/>So how was the food? <br/><br/>So disappointing. <br/><br/>The taco salad / the shell was great but that was it. There was literally almost no meat in it, maybe less than 1/4 cup of ground beef and that's being generous. It was kind of bland it needed beans for sure, but it was 97% lettuce 1% cheese 1.5% radish and corn and 0.5% meat. <br/>The tacos were super greasy and the meat was hard. <br/>We waited foreverr for the bill and by this time the place is less than half empty and all the people that were sat after us have come and gone. We finally flag someone down for the check (like flag down we're sitting there credit card in hand ready.) and the bill is wrong lol <br/><br/>So here's the thing, it's priced like a high end Mexican restaurant but serving (at least right now) really not great hole in the wall style food. You can go to Tyson's tacos across the street and get better tacos for less.....if the food had been great then really everything else would be forgiven but the downgrade in decor, the not exciting drink menu with average drinks at high prices and the super disappointing food (take service out of it I'm sure they'll come into a grove) idk. Maybe we will try it again in a few months if it's still around, and if we do I really hope it's transformed with amazing food because we'd love to have another fun place in the neighborhood! <br/><br/>That concludes my novel, enjoy the rest of your day."
149,"Carnitas good, chips and salsa all of them good, Clase azul tequila good.  And as shown a churro pancake, try the el Camino whiskey and mezcal combo."
150,"We went here on Friday for happy hour and sadly didn't have the awesome experience that we had hoped we would. We live close by and watched with anticipation as the old Bullfight space was painted over. There's also no great Tex-Mex nearby except for El Caribe.<br/><br/>Salsa comes out with bottom of the bag chips. We're talking tiny broken orphan chips that should be used for migas and not for customers, so not the most auspicious beginning to the meal. Since it was happy hour, we got two prickly pear margaritas, queso blanco, and guacamole. The margaritas were perfectly frozen, but despite their being pink, there was absolutely no prickly pear flavor (we know because we ordered a regular frozen margarita afterwards and did a side-by-side comparison). Queso and guac were average AF.<br/><br/>Afterwards we had the local greens salad, Pablo's plato (with chicken), and grilled street corn. Let's start with the street corn: we'd be willing to bet our 401K that it wasn't grilled. No way in hell! The kernels were swimming in the crema and were definitely steamed. The salad was just OK--we liked the components, but the dressing didn't have much to it and there was way too much. The plato was the biggest disappointment though; the tacos and enchiladas really didn't have much flavor. We did like the refried beans.<br/><br/>Our server was very sweet and kind, but there were moments when were were struggling to communicate with her. The restaurant was also completely understaffed.<br/><br/>Bottom line: the weather was gorgeous and we had a pleasant time sitting outside with our daughter behaving herself, for the most part, in her highchair. (The place definitely attracts family crowds, FYI, in case that's not your thing.) We didn't love the food, but we didn't hate it, so we might be back again in a few months after things have hopefully improved."
151,Went for HH. Prickly pear frozen marg was good wasn't crazy about the regular marg on the rocks. Guacamole and salsa were good also and happy hour prices were good. Looks a little pricey for dinner but will be back to try more food!
